88001.89584	73750.60155
88000.24139	73739.96575
87997.64152	73741.85656
87991.02369	73737.83859
87983.6968	73736.42048
87978.49708	73738.54764
87976.60627	73742.80196
87977.55167	73745.63818
87992.4418	73752.49236
88006.38652	73753.67412
87998.82328	73759.81925
88002.36855	73760.29195
88006.38652	73756.27398
88012.2953	73756.27398
88009.22273	73760.5283
88004.25936	73763.83722
88001.65949	73766.43708
88000.24139	73772.58221
88007.09557	73774.70937
88012.05894	73764.30992
88016.31327	73758.87384
88020.09488	73756.27398
88021.74934	73753.91047
88027.89447	73753.67412
88029.07623	73757.45573
88025.53096	73761.001
88018.91313	73762.41911
88012.2953	73767.61883
88009.69543	73775.18207
88021.04029	73778.96369
88026.00366	73765.96438
88034.27596	73777.54558
88036.40312	73766.20073
88043.02095	73774.94572
88053.4204	73770.2187
88043.73	73757.21938
88046.09351	73738.07494
88027.89447	73739.96575
88017.96772	73731.4571
88001.65949	73736.42048
88001.89584	73750.60155
