P01,3793.011,2869.972,9.571
P02,3795.959,2868.952,9.615
P03,3799.283,2864.64,9.977
P04,3799.039,2856.23,10.102
P05,3795.293,2853.8,10.115
P06,3789.301,2853.684,10.275
P07,3784.585,2857.299,10.238
P08,3780.326,2861.322,10.011
P09,3776.541,2864.789,9.692
P10,3779.115,2869.933,9.38
P11,3785.879,2870.586,9.528
P12,3792.979,2870.191,9.554
P13,3790.221,2869.222,9.998
P14,3791.97,2865.383,12.355
P15,3787.793,2865.415,12.966
P16,3781.747,2865.363,12.793
P17,3785.322,2861.955,12.472
P18,3788.845,2858.02,12.97
P19,3793.866,2858.628,12.881
P20,3794.916,2863.177,12.794
P21,3795.059,2862.592,12.55
P22,3786.324,2863.73,12.143
P23,3776.468,2858.881,10.029
P24,3780.976,2855.736,10.168
P25,3784.596,2852.645,10.318
P26,3781.654,2850.453,10.155
P27,3780.524,2847.34,10.309
P28,3778.428,2845.174,10.354
P29,3772.222,2845.423,10.604
P30,3764.824,2845.985,10.485
P31,3757.095,2846.279,10.65
P32,3749.893,2848.263,10.633
P33,3744.116,2853.723,10.773
P34,3744.891,2859.717,11.13
P35,3751.04,2864.182,10.537
P36,3758.577,2865.857,10.184
P37,3765.204,2866.069,10.397
P38,3770.445,2863.635,10.02
P39,3775.82,2859.628,10.053
P40,3764.334,2864.859,10.542
P41,3768.128,2860.81,12.536
P42,3768.634,2856.572,15.309
P43,3768.382,2854.894,15.962
P44,3765.924,2855.036,16.391
P45,3762.297,2855.115,15.699
P46,3757.805,2855.804,16.6
P47,3748.804,2856.423,14.529
P48,3750.621,2856.161,13.511
P49,3748.429,2851.975,10.997
P50,3750.342,2858.816,12.546
P51,3769.646,2870.663,10.22
